,r,F
0,1e-10,2.5704899999999995e-08
1,1.1000000000000001e-10,2.124371900826446e-08
2,1.2e-10,1.7850625e-08
3,1.3000000000000002e-10,1.5209999999999995e-08
4,1.4000000000000003e-10,1.3114744897959177e-08
5,1.5000000000000002e-10,1.1424399999999997e-08
6,1.6000000000000002e-10,1.0040976562499998e-08
7,1.7000000000000003e-10,8.894429065743942e-09
8,1.8000000000000005e-10,7.933611111111107e-09
9,1.9000000000000004e-10,7.12047091412742e-09
10,2.0000000000000003e-10,6.426224999999997e-09
11,2.1000000000000005e-10,5.8287755102040786e-09
12,2.2000000000000007e-10,5.310929752066112e-09
13,2.3000000000000008e-10,4.859149338374287e-09
14,2.4000000000000005e-10,4.462656249999998e-09
15,2.5000000000000007e-10,4.112783999999998e-09
16,2.600000000000001e-10,3.802499999999998e-09
17,2.700000000000001e-10,3.5260493827160463e-09
18,2.8000000000000007e-10,3.278686224489794e-09
19,2.900000000000001e-10,3.0564684898929827e-09
20,3.000000000000001e-10,2.856099999999998e-09
21,3.100000000000001e-10,2.6748074921956277e-09
22,3.200000000000001e-10,2.5102441406249987e-09
23,3.300000000000001e-10,2.360413223140494e-09
24,3.400000000000001e-10,2.2236072664359844e-09
25,3.5000000000000014e-10,2.0983591836734676e-09
26,3.6000000000000015e-10,1.983402777777776e-09
27,3.700000000000001e-10,1.877640613586558e-09
28,3.8000000000000014e-10,1.7801177285318548e-09
29,3.9000000000000015e-10,1.6899999999999987e-09
30,4.000000000000001e-10,1.606556249999999e-09
31,4.1000000000000014e-10,1.5291433670434254e-09
32,4.2000000000000015e-10,1.4571938775510192e-09
33,4.3000000000000017e-10,1.3902055164954018e-09
34,4.400000000000002e-10,1.3277324380165278e-09
35,4.5000000000000015e-10,1.2693777777777769e-09
36,4.6000000000000017e-10,1.2147873345935718e-09
37,4.700000000000001e-10,1.1636441828881842e-09
38,4.800000000000001e-10,1.1156640624999995e-09
39,4.900000000000002e-10,1.0705914202415653e-09
40,5.000000000000001e-10,1.0281959999999996e-09
41,5.100000000000002e-10,9.882698961937707e-10
42,5.200000000000002e-10,9.506249999999995e-10
43,5.300000000000001e-10,9.15090779636881e-10
44,5.400000000000002e-10,8.815123456790116e-10
45,5.500000000000002e-10,8.49748760330578e-10
46,5.600000000000001e-10,8.196715561224485e-10
47,5.700000000000002e-10,7.911634349030465e-10
48,5.800000000000002e-10,7.641171224732457e-10
49,5.900000000000001e-10,7.384343579431194e-10
50,6.000000000000002e-10,7.140249999999995e-10
51,6.100000000000002e-10,6.908062348830955e-10
52,6.200000000000002e-10,6.687018730489069e-10
53,6.300000000000002e-10,6.476417233560086e-10
54,6.400000000000002e-10,6.275610351562497e-10
55,6.500000000000002e-10,6.083999999999996e-10
56,6.600000000000002e-10,5.901033057851235e-10
57,6.700000000000002e-10,5.726197371352191e-10
58,6.800000000000002e-10,5.559018166089961e-10
59,6.900000000000002e-10,5.399054820415875e-10
60,7.000000000000002e-10,5.24589795918367e-10
61,7.100000000000002e-10,5.099166831977778e-10
62,7.200000000000002e-10,4.958506944444442e-10
63,7.300000000000003e-10,4.823587915181081e-10
64,7.400000000000002e-10,4.694101533966395e-10
65,7.500000000000002e-10,4.5697599999999977e-10
66,7.600000000000003e-10,4.450294321329637e-10
67,7.700000000000002e-10,4.33545285882948e-10
68,7.800000000000003e-10,4.224999999999997e-10
69,7.900000000000003e-10,4.118714949527317e-10
70,8.000000000000002e-10,4.016390624999998e-10
71,8.100000000000003e-10,3.917832647462274e-10
72,8.200000000000003e-10,3.8228584176085634e-10
73,8.300000000000002e-10,3.731296269415007e-10
74,8.400000000000003e-10,3.642984693877548e-10
75,8.500000000000003e-10,3.5577716262975756e-10
76,8.600000000000002e-10,3.4755137912385055e-10
77,8.700000000000003e-10,3.396076099881091e-10
78,8.800000000000003e-10,3.31933109504132e-10
79,8.900000000000003e-10,3.245158439590958e-10
80,9.000000000000003e-10,3.173444444444442e-10
81,9.100000000000003e-10,3.104081632653059e-10
82,9.200000000000003e-10,3.0369683364839294e-10
83,9.300000000000003e-10,2.9720083246618083e-10
84,9.400000000000005e-10,2.909110457220459e-10
85,9.500000000000004e-10,2.848188365650967e-10
86,9.600000000000004e-10,2.7891601562499977e-10
87,9.700000000000004e-10,2.731948134764585e-10
88,9.800000000000003e-10,2.6764785506039133e-10
89,9.900000000000003e-10,2.6226813590449934e-10
90,1.0000000000000005e-09,2.5704899999999974e-10
